[2026-08-18 22:22:44] 开始执行论文搜索任务
搜索关键词: code
搜索日期范围: 2026-08-17
正在获取论文...
[arXiv] 2026-08-17 | CAPO: Constraint-Aware Prompt Optimization for LLM Agents
[arXiv] 2026-08-17 | zLend: A Dual-Scope Cash-Flow Reconstruction Framework for On-Chain Credit Underwriting
[arXiv] 2026-08-17 | A Hirsch length inequality
[arXiv] 2026-08-17 | Targeting Support Using Job Seekers' Biases: A Randomized Experiment
[arXiv] 2026-08-17 | Topology-Aware Differentiable Triangle-Soup Reconstruction via Persistent Homology
[arXiv] 2026-08-17 | Spectral Edge Rigidity of Quantum Chaotic States
[arXiv] 2026-08-17 | Security of Foundation-Model-Powered Embodied Agents: Attack Surfaces, Attacks, Defenses, and Evaluation
[arXiv] 2026-08-17 | The first comprehensive spectral and timing study of the ultra-compact X-ray binary 4U 1812-12 with NICER and NuSTAR
[arXiv] 2026-08-17 | Expanding Access, Exposing Risk: A Short Study of Exposed Starlink Hosts
[arXiv] 2026-08-17 | Nonnegative Quadratics over a Quadrant with a Bilinear Constraint
[arXiv] 2026-08-17 | Classical-limit formula for matrix elements between bound states of distinct one-dimensional potentials
[arXiv] 2026-08-17 | HAPS through the Lens of Satellites and UAVs: A Function-Level Perspective on the Emerging High Altitude Economy
[arXiv] 2026-08-17 | Biases-Informed Job Search Guidance: Characterization, Implications, and Targeting Support
[arXiv] 2026-08-17 | Identifying AGNs from X-ray detections$-$II: Metallicity calibrations for the $\rm N_2O_2$ and $\rm N_2S_2$ diagnostics
[arXiv] 2026-08-17 | Pattern-Based Sequential Multiple Imputation for Missing Data in Clinical Trials: An Extension for Baseline-Only Early Dropout Subjects
[arXiv] 2026-08-17 | Surface weak ferromagnetism
[arXiv] 2026-08-17 | JWST Whirlpool Galaxy Treasury: Mid-Infrared Emission in M51 and its Relation to Gas Column and Star Formation
[arXiv] 2026-08-17 | When Agents Coordinate: Measuring Coordination in Multi-Agent AI Coding
[arXiv] 2026-08-17 | A Cross-Band (X-ray $\times$ Optical) Periodicity Search for Supermassive Black Hole Binaries: A Null Result and the First Completeness-Corrected Constraint
[arXiv] 2026-08-17 | Empirical Bayes linear regression in high dimensions: Method of moments and sub-linear sample complexity
[arXiv] 2026-08-17 | On the Principles Behind Neural Network Optimizers
[arXiv] 2026-08-17 | Novel methodology for obtaining design structure matrices using network identification
[arXiv] 2026-08-17 | Would this change your answer? Evaluating Explanations of LLM Behavior In The Wild with Counterfactual Experiments
[arXiv] 2026-08-17 | TDD-Agent: Test-Driven Reasoning for Code Generation
[arXiv] 2026-08-17 | Gromov-Witten theory of abelian varieties in families and modular forms
[arXiv] 2026-08-17 | MatchingPolicy: Correspondence-Aware Policy Enables Cross-Object In-Context Learning
[arXiv] 2026-08-17 | The Ethical Decision Head: Operationalizing Normative Ethics in Autonomous Vehicles via Reinforcement Learning from Human Feedback
[arXiv] 2026-08-17 | Planar lamplighter is not of negative type
[arXiv] 2026-08-17 | Boundary Layers and Sharp Asymptotics for Maximum-Area Small Polygons
[arXiv] 2026-08-17 | Closing the Affective Loop: Multimodal Speaker-Listener Emotion-Dynamics-Aware Empathetic Social Robots
[arXiv] 2026-08-17 | On Finite Gaussian Mixtures: Finiteness of the Number of Modes and an Application to NPMLE
[arXiv] 2026-08-17 | Nilpotent representations over equioriented cyclic quivers
[arXiv] 2026-08-17 | DRAFE: Domain-Robust Asymmetric Fusion of Heterogeneous Detection Transformers for Cross-City Fine-Grained Traffic Object Detection
[arXiv] 2026-08-17 | When Do Explanations Help In-Context Learning? A Comparative Study of Natural Language Explanation Types and Faithfulness
[arXiv] 2026-08-17 | Computing the $U$ maps on ECH of prequantization bundles
[arXiv] 2026-08-17 | The Specification Paradox: Rethinking Requirements Engineering in the Age of AI
[arXiv] 2026-08-17 | Scarred discrete time crystal in a periodically driven dimerized spin chain
[arXiv] 2026-08-17 | Three Infinite Families Separating Schur Positivity, the Strongly Nice Property, and the Nice Property
[arXiv] 2026-08-17 | Interactive Whole Slide Images for RL-based Tumour Segmentation
[arXiv] 2026-08-17 | Variational Outlier-Robust Gaussian Process Regression with Generative Modeling
[arXiv] 2026-08-17 | Comaximal Graphs of finite-dimensional Lie algebras over finite fields: Triangle counts and structural invariants
[arXiv] 2026-08-17 | Learning Generalizable Reconstruction of High-Dimensional Neural Dynamics
[arXiv] 2026-08-17 | $\mathrm {U}_{q\tilde q}\mathfrak{sl}(2;\mathbb R)$ Turaev-Viro invariants for cusped $3$-manifolds
[arXiv] 2026-08-17 | Hyperuniform Delone Realizations and Rigidity
[arXiv] 2026-08-17 | Revisiting Shannon's Source Coding Theorem with Distributional Uncertainty under the Nonlinear Expectation Theory
[arXiv] 2026-08-17 | Listen, Reason, and Segment: Aligning LALMs with Editorial Judgment for Media Chapterization
[arXiv] 2026-08-17 | Automatic Cephalometric Landmark Localization on CBCT-Derived Digitally Reconstructed Radiographs for Skeletal Malocclusion Classification
[arXiv] 2026-08-17 | Quasi-local Hamiltonian for generalized Kerr-Schild black holes in the Iyer-Wald formalism
[arXiv] 2026-08-17 | Quantum Permutations and Beyond Quantum Controlled Reference Frames
[arXiv] 2026-08-17 | Two-Photon Bound States in the Continuum: A No-Go Theorem and Long-Lived Quasi-Bound States
[arXiv] 2026-08-17 | Quasinormal Modes of Black Holes Embedded in Dark-Matter Halos: Analysis of Dehnen(1, 4, 5/2) and DC14 Density Profiles
[arXiv] 2026-08-17 | Non-invertible Lattice 1-Form Symmetries for Non-Abelian Topological Order
[arXiv] 2026-08-17 | The Unidirectional Current as First Arrival-Time POVM: An MS-Kijowski Identity, Physical Interpretation, and Mathematical Applications
[arXiv] 2026-08-17 | LLMs for Zero-Shot Threat Detection via Structured Risk Indicators
[arXiv] 2026-08-17 | New 5th-order Schwarzian evolution equations and their higher-order symmetries
[arXiv] 2026-08-17 | Towards Real-Time and Adaptable LiDAR Scene Completion
[arXiv] 2026-08-17 | Remote-Sensing City Layout Extraction with MLLM
[arXiv] 2026-08-17 | Convergence and variational structure of a staggered scheme for mean field games with individual noise on graphs
[arXiv] 2026-08-17 | Elastic wave propagation in fractured media with spring-type and frictional contact deformation laws
[arXiv] 2026-08-17 | Localized TabICLv2: Scaling Tabular In-Context Learning through k-NN
[arXiv] 2026-08-17 | Degrees of Genus-Two Split-Jacobian Loci and Humbert-Form Reconstruction
[arXiv] 2026-08-17 | A Representation-Learning Item Response Model for Identifying Behaviorally Important Actions in PIAAC Process Data
[arXiv] 2026-08-17 | Proving the Utility of Large Language Models in Cybersecurity Simulations: A Comprehensive Examination
[arXiv] 2026-08-17 | PertMind: Eliciting Emergent Biological Reasoning in LLM via Reinforcement Learning on Cellular Perturbation Data
[arXiv] 2026-08-17 | ChemReporter: A Framework for Curating and Exporting Large-Scale Chemical Datasets for MLIP Training
[arXiv] 2026-08-17 | Towards Risk-free AI Agent Deployment
[arXiv] 2026-08-17 | Think Inside the Chunk: RegulaRAG for Regulation-Compliant Scenario Generation using LLMs: A Case Study of UN Regulation No. 152
[arXiv] 2026-08-17 | Security Assessment of DeepSeek Harness with A.I.G: Evaluating Resistance to Indirect Prompt Injection
[arXiv] 2026-08-17 | Twisted Deligne modules and abelian varieties over finite fields
[arXiv] 2026-08-17 | Turning spectra into images improves plant trait retrieval with 2D-CNNs
[arXiv] 2026-08-17 | Galaxy Morphology Classification: Uncertainty Modeling and Out of Distribution Detection
[arXiv] 2026-08-17 | Training-Free Reconstruction-Based AI-Generated Image Detectors Are Inherently Vulnerable to Adversarial Examples
[arXiv] 2026-08-17 | Data-driven discovery and rapid, direct synthesis of MXenes
[arXiv] 2026-08-17 | OceanDepths: A Global Dataset of Paired Subsurface and Surface Ocean Observations
[arXiv] 2026-08-17 | Quantum-Corrected Black Holes in Higher Dimensions: From Gravitational Collapse to Remnants, WGC-Like Behavior and Accretion Signatures
[arXiv] 2026-08-17 | Picking the Right Image to Classify: Reliable-Input Selection in Teledermatology
[arXiv] 2026-08-17 | Model Hypnosis: Strong control of AI via additive subliminal effects
[arXiv] 2026-08-17 | Ultra: Unsupervised Cross-Task Optimization for Reliable Restoration Segmentation Collaboration under Adverse Weather
[arXiv] 2026-08-17 | Metric Reconstruction from Timelike Entanglement Entropy
[arXiv] 2026-08-17 | LiD-GLM: Lipschitz-constrained Deep Generalized Linear Models
[arXiv] 2026-08-17 | The Bethe-Hessian down to the Percolation Threshold
[arXiv] 2026-08-17 | A Sharp Diameter-Dependent Lower Bound for the First Nonzero Neumann Eigenvalue of Geodesic Triangles in Space Forms
[arXiv] 2026-08-17 | Unsupervised Anomaly Detection for Image Dataset Quality Assurance in Multi-Center Breast MRI
[arXiv] 2026-08-17 | On the Absence of Identifiable Manifolds in Finite-Max Composite Optimization
[arXiv] 2026-08-17 | HaReCAP: Habitual-action Grounding for Recursive Large Language Model Agents
[arXiv] 2026-08-17 | A Policy Algebra for Trust-Preserving Agentic AI Execution
[arXiv] 2026-08-17 | On The Eaton-Moretó Conjecture for Principal Blocks of Finite Groups
[arXiv] 2026-08-17 | Classical Adversarial Fault-Tolerance and PCPs
[arXiv] 2026-08-17 | Measurable Matroids: Foundations and Min--Max Theorems
[arXiv] 2026-08-17 | An FFT-Accelerated Boundary Integral Equation Method for Wave Scattering by Smooth Surfaces in Three Dimensions
[arXiv] 2026-08-17 | Graph Neural Assisted Actor-Critic for Latency-Efficient Edge Vision System
[arXiv] 2026-08-17 | The linear dilaton in cosmology and particle physics
[arXiv] 2026-08-17 | From Earth Meteors to Mars: Predicting Where to See the First Martian Meteors
[arXiv] 2026-08-17 | Time-optimal quantum gates with bang-bang control in multilevel systems
[arXiv] 2026-08-17 | Q-based Variational Inverse Reinforcement Learning
[arXiv] 2026-08-17 | An Empirical Study of Training Pixel-Space Text-to-Image Diffusion Models
[arXiv] 2026-08-17 | Evaluating Beyond the Screen: Collective Assessment of AI-Generated Business Plans with Resource-Constrained Entrepreneurs
[arXiv] 2026-08-17 | $τ_0$-VLA: a Hierarchical Robot Foundation Model with World-Model-Guided Test-Time Computation
[arXiv] 2026-08-17 | On the relations between several notions of symmetry for the second order linear differential equation
[arXiv] 2026-08-17 | Giant Thermal Amplification via Engineered Dissipation in a Sierpiski-Gasket Aharonov-Bohm Interferometer
[arXiv] 2026-08-17 | Generalized Hamiltonian gradient flow of contact type I: regularity of the fundamental solutions
[arXiv] 2026-08-17 | Time-Aware Validation of Machine Learning Fuel Consumption Models: Evidence from 1\,Hz Operational Data, CCGS \textit{Sir Wilfrid Laurier}
[arXiv] 2026-08-17 | Implementation of the Moments Method in TALYS: Sensitivity of $^{56,57}$Fe$(n,γ)$ observables to shell model nuclear level densities
[arXiv] 2026-08-17 | GEO-Flag: Detecting and Measuring GEO-Optimized Web Content
[arXiv] 2026-08-17 | Unlocking the Potential of Image Editing via Concept Scaling and Dense Supervision
[arXiv] 2026-08-17 | An answer for a Mistretta-Stoppino's conjecture
[arXiv] 2026-08-17 | Parallel Spatial Photonic Programming of Optoelectronic IGZO RRAM with a compact $μ$LED Array
[arXiv] 2026-08-17 | Cross-Sign Language Transfer Learning Using Domain Adaptation with Multi-scale Temporal Alignment
[arXiv] 2026-08-17 | Sharp $L^2$-Caffarelli--Kohn--Nirenberg and weighted Poincaré inequalities on half-spaces and orthants and their stability
[arXiv] 2026-08-17 | Explicit characterization of $\widehat{\mathfrak{g}}$-dominant tableaux for $n\le 4$ via $1$-$0$-slack recording tableaux in the quantum Littlewood-Richardson rule and other bijections
[arXiv] 2026-08-17 | Matrix group $Λ$-distributions
[arXiv] 2026-08-17 | Neurosymbolic Embodied Agents
[arXiv] 2026-08-17 | Steering the Flow: Inverting Face Recognition Models via Gradient-Guided Flow Matching
[arXiv] 2026-08-17 | "This Is So Claude!" Towards a Theory of the Recognition of AI Character Without Reidentification
[arXiv] 2026-08-17 | Revisiting Classifier-Free Guidance Methods in Latent Diffusion Models
[arXiv] 2026-08-17 | Calibration-Free Vehicle Speed Estimation: A Monocular Keypoint-Template Approach
[arXiv] 2026-08-17 | Exotics with gluonic excitations
[arXiv] 2026-08-17 | Arrow Operations in Categories of Lattice-valued Relations
[arXiv] 2026-08-17 | Beyond $L_2$: Generalizing Abductive Latent Explanations to Diverse Prototype-Based Architectures
[arXiv] 2026-08-17 | A short note on the image of multilinear graded polynomials on matrix algebras
[arXiv] 2026-08-17 | Some More Rigid Real Closed Fields
[arXiv] 2026-08-17 | High Velocity Neutral Gas in the Fermi Bubbles: New Kinematic Limits and Spatial Structure
[arXiv] 2026-08-17 | VicEdit: Learning to Edit Videos from Visual In-Context Examples
[arXiv] 2026-08-17 | Codegree Thresholds for $λ$-Choosability of Graphs
[arXiv] 2026-08-17 | In-situ measurements of space plasma: recent progress and future challenges
[arXiv] 2026-08-17 | A Sharp inequality between local volumes and minimal log discrepancies
[arXiv] 2026-08-17 | Resolving the Magnetic Ground State and Field-Induced Transitions in Magnetic Dirac Semimetal Candidate EuMnSb$_2$
[arXiv] 2026-08-17 | Non-exotic traversable wormholes in Einstein-Chern-Simons gravity
[arXiv] 2026-08-17 | Numerical and perceptual validity of synthetic Head-Related Transfer Functions at scale
[arXiv] 2026-08-17 | Exact mobility rings in non-Hermitian quasiperiodically decorated Lieb lattices
[arXiv] 2026-08-17 | CytoFormer: A Molecularly Supervised Cell Foundation Model for Histopathology Cell Classification
[arXiv] 2026-08-17 | H-PAC Hand: Control-Oriented Modeling and Tendon-Elasticity Compensation for an Underactuated Robotic Hand
[arXiv] 2026-08-17 | Quantile restrictions, revealed rankings, and the limits of multinomial choice
[arXiv] 2026-08-17 | Learning to Price with Persuasion
[arXiv] 2026-08-17 | UniTAC: Universal Task-Aware Compression via Weighted Distortion Measures
[arXiv] 2026-08-17 | A note on the $\mho$-quiver
[arXiv] 2026-08-17 | Atiyah's Minkowski Space Conjecture Fails for Every $n\ge3$
[arXiv] 2026-08-17 | Infinitary positive existential normal forms for modules
[arXiv] 2026-08-17 | AnchorScore: A CLIP-Based Diagnostic of MLLM Annotation Difficulty
[arXiv] 2026-08-17 | Subconvexity of Short $k$-Free Exponential Sums
[arXiv] 2026-08-17 | Nearly permanental cospectral graphs
[arXiv] 2026-08-17 | Sensitivity Scaling and Limits of Cavity Enhancement in Miniaturized Optically Pumped Magnetometers
[arXiv] 2026-08-17 | Concept-based explanation of gene expression prediction from H&E images
[arXiv] 2026-08-17 | Chronocooked: A Benchmark for Implicit Interval Timing in Reinforcement Learning Agents
[arXiv] 2026-08-17 | Random Quadratic Form with random forcing: Metastable synchronization by noise
[arXiv] 2026-08-17 | Bounded Semantic Planning and Deterministic Compilation for Reliable Enterprise Text-to-SQL
[arXiv] 2026-08-17 | X$^2$Localizer: Cross-grained Alignment for Progressive Cross-view Video Geo-localization
[arXiv] 2026-08-17 | The ultimate carbon cost of a ChatGPT query
[arXiv] 2026-08-17 | Bounds on the real tensor rank of octonion multiplication
[arXiv] 2026-08-17 | Every Coin Has Two Sides: On the Dual Nature of Generalization in On-Policy Distillation of Large Language Models
[arXiv] 2026-08-17 | The maximum number of maximal dissociation sets in trees
[arXiv] 2026-08-17 | AccountAgent: AI Accounting Assistant System
[arXiv] 2026-08-17 | Cramér-Rao Bound Analysis for Cell-Free ISAC Systems with Fluid Intelligent Metasurfaces
[arXiv] 2026-08-17 | HarmTrace: Anchor-Calibrated Decoupled Optimization for Fine-Grained Target Identification in Harmful Memes
[arXiv] 2026-08-17 | Statistical Mechanics of a Quantum Harmonic Oscillator with Folded Gaussian Frequency
[arXiv] 2026-08-17 | Machine Learning-Accelerated Band-Edge Engineering of Pnictogen Chalcohalide Solid Solutions for Solar Energy Technologies
[arXiv] 2026-08-17 | Characterizing Agentic Flooding of Government Services
[arXiv] 2026-08-17 | Factors Impacting Developer Efficiency: Results from an Adaptive Longitudinal Study
[arXiv] 2026-08-17 | Krylov complexity of anyons
[arXiv] 2026-08-17 | CACSurv: Concordance-Aligned Comparative Learning with Large Language Models for Cancer Survival Prediction
[arXiv] 2026-08-17 | Zetta $ζ$: An Efficient Closed-Loop Embodied Harness for Self-Evolving Physical Intelligence
[arXiv] 2026-08-17 | SAHC-NS: Structure-Aware and Hardness-Calibrated Negative Sampling for Implicit Collaborative Filtering
[arXiv] 2026-08-17 | Differential-Embedding Reconstruction of Dynamical Systems from Scalar Time Series
[arXiv] 2026-08-17 | ADEMM: A Longitudinal Method for Monitoring Developer Efficiency in Industry
[arXiv] 2026-08-17 | Chiral Soliton Lattices under Magnetic Fields and Rotation: a Holographic Analysis
[arXiv] 2026-08-17 | Approximate Functional Dependencies---Implication Problem Revisited
[arXiv] 2026-08-17 | How Fragile Is Your Watermark? Training-Free Structural Removal of Neural Audio Watermarks
[arXiv] 2026-08-17 | What to Remember, What to Reveal: Privacy-Aware Memory for Conversational Agents
[arXiv] 2026-08-17 | Bayesian epidemic alignment for causal evaluation of seasonal infectious-disease interventions
[arXiv] 2026-08-17 | DSPrompt: Dynamic Soft Prompt Defense Against M-RAG Corruption
[arXiv] 2026-08-17 | Spectral filtering and crystal length as control parameters for conditional correlations in quantum imaging
[arXiv] 2026-08-17 | FLEET: Token-Based Feature Extraction for Event Camera-based Reinforcement Learning
[arXiv] 2026-08-17 | 7-branes and $Γ_0(2)$ Duality in Type 0B String Theory
[arXiv] 2026-08-17 | MoMPy: automated construction of moment matrices for semidefinite programming relaxations
[arXiv] 2026-08-17 | When Tool-Backed Skill Retrieval Fails: Source-Style Collapse in Executable Capability Retrieval
[arXiv] 2026-08-17 | Solving Streett and Emerson-Lei Games with Universal Trees
[arXiv] 2026-08-17 | Quantum gate lower bounds for loss-tolerant position verification
[arXiv] 2026-08-17 | Efficient Privacy-Preserving Range Filtered Approximate Nearest Neighbor Search
[arXiv] 2026-08-17 | HiFi-BRep: High-Fidelity Latent Representation for Robust B-Rep Generation
[arXiv] 2026-08-17 | Torus computed tomography for experimental data
[arXiv] 2026-08-17 | Jump-Diffusion Stochastic Quantization for Euclidean Lattice Field Theories
[arXiv] 2026-08-17 | Observation-Constrained Joint-Space Viewpoint Optimization for Robotic Inspection of Cylindrical Cavities
[arXiv] 2026-08-17 | Drive, Pack, Fly: The Travelling Thief Problem with Drone
[arXiv] 2026-08-17 | On the finite group whose proper enhanced power graph is claw-free
[arXiv] 2026-08-17 | Robot-Body-Aware Traversal Risk Graph Planning for Wheeled-Legged Robots in Complex Terrain
[arXiv] 2026-08-17 | Scalable Gaussian Process Regression via Deterministic Trigonometric Features: Uniform Bounds for Safe Model Predictive Control
[arXiv] 2026-08-17 | TRACE-CASH: Trial-History-Conditioned Reinforcement Learning for Adaptive Configuration Exploration in Time-Series CASH
[arXiv] 2026-08-17 | SoftModel: A Neural Model That Grows Its Own Topology -- Governed Structural Growth for Continual In-Service Learning
[arXiv] 2026-08-17 | Oort's conjecture on supersingular abelian varieties in odd characteristic
[arXiv] 2026-08-17 | Maximal correlation under cardinality constraints
